Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date
Promoters,29.94,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Nirmal Bhanwarlal Jain,19.03,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Madhu N Jain,4.64,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Venkataraman Rajamani,3.23,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Aditi Avinash Athavankar,2.45,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Ardent Impex Pvt Ltd,0.37,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Orpheus Trading Pvt Ltd,0.18,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Aditi Athavankar,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
FIIs,24.85,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Wf Asian Reconnaissance Fund Limited,9.88,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Hwic Asia Fund Class A Shares,8.73,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Bank Muscat India Fund,3.43,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Lobco Limited,1.47,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
DIIs,0.0,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Public,45.19,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Others,0.01,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Promoters,32.68,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Nirmal Bhanwarlal Jain,19.85,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Madhu N Jain,6.02,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Venkataraman Rajamani,3.88,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Aditi Avinash Athavankar,2.35,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Ardent Impex Pvt Ltd,0.35,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Orpheus Trading Pvt Ltd,0.17,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Aditi Athavankar,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
FIIs,23.9,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Wf Asian Reconnaissance Fund Limited,9.49,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Hwic Asia Fund Class A Shares,8.39,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Bank Muscat India Fund,3.29,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Lobco Limited,1.42,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
DIIs,0.0,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Public,43.39,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Others,0.01,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Promoters,32.68,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
Nirmal Bhanwarlal Jain,19.85,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
Madhu N Jain,6.02,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
Venkataraman Rajamani,3.88,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
Aditi Avinash Athavankar,2.35,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
Ardent Impex Pvt Ltd,0.35,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
Orpheus Trading Pvt Ltd,0.17,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
Aditi Athavankar,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
FIIs,23.89,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
Wf Asian Reconnaissance Fund Limited,9.49,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
Hwic Asia Fund Class A Shares,8.39,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
Bank Muscat India Fund,3.29,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
Lobco Limited,1.42,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
DIIs,0.0,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
Public,43.4,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
Others,0.01,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2022,01-12-2022
Promoters,33.33,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
Nirmal Bhanwarlal Jain,20.25,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
Madhu N Jain,6.02,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
Venkataraman Rajamani,4.13,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
Aditi Avinash Athavankar,2.35,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
Ardent Impex Pvt Ltd,0.35,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
Orpheus Trading Pvt Ltd,0.17,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
Aditi Athavankar,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
FIIs,23.8,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
Wf Asian Reconnaissance Fund Limited,9.49,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
Hwic Asia Fund Class A Shares,8.39,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
Bank Muscat India Fund,3.29,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
Lobco Limited,1.34,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
DIIs,0.0,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
Public,42.86,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
Others,0.01,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2023,01-03-2023
Promoters,33.39,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
Nirmal Bhanwarlal Jain,20.25,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
Madhu N Jain,6.02,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
Venkataraman Rajamani,4.14,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
Aditi Avinash Athavankar,2.35,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
Ardent Impex Pvt Ltd,0.35,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
Orpheus Trading Pvt Ltd,0.17,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
Aditi Athavankar,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
Nirmal Madhu Family Private Trust,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
