,Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date,ch
349225,La Tim Lifestyle  Resorts Ltd,0.19,505693,,17.0,2210000000.0,130000000.0,Jun 2024,01-06-2024,up
349769,Emerging Market Investment Dmcc,6.57,533096,ADANIPOWER,676.0,2606520000000.0,3855798816.568048,Jun 2024,01-06-2024,up
351384,Pallavi Sanjay Jha,0.24,501370,,203.0,589000000.0,2901477.832512316,Jun 2024,01-06-2024,up
352137,Aman Baid,3.73,511724,BAIDFIN,14.6,1760000000.0,120547945.20547946,Jun 2024,01-06-2024,up
359710,Raoof Razak Dhanani,10.46,544090,,770.0,2350000000.0,3051948.051948052,Jun 2024,01-06-2024,up
360975,Kavita Philip,0.09,500290,MRF,138625.0,587980000000.0,4241514.87826871,Jun 2024,01-06-2024,up
365479,Mark Ab Welfare Trust,12.82,532945,SEPC,25.5,39860000000.0,1563137254.9019608,Jun 2024,01-06-2024,up
367051,Hinduja Group Limited,42.18,500189,NDLVENTURE,109.0,3640000000.0,33394495.41284404,Jun 2024,01-06-2024,up
367803,Vachi Commercial Llp,7.43,538868,,9.95,261000000.0,26231155.77889448,Jun 2024,01-06-2024,up
369487,Rekha Jain,4.09,522183,,514.0,1650000000.0,3210116.7315175096,Jun 2024,01-06-2024,up
369692,Times Growth Securities Ltd,4.02,532100,,19.4,202000000.0,10412371.13402062,Jun 2024,01-06-2024,up
372696,Hardeep Singh,42.73,543923,IKIO,293.0,22610000000.0,77167235.49488054,Jun 2024,01-06-2024,up
373193,Gateway Distriparks Limited,46.43,538635,SNOWMAN,81.6,13640000000.0,167156862.74509805,Jun 2024,01-06-2024,up
373684,President Of India,56.83,500191,HMT,90.4,32140000000.0,355530973.4513274,Jun 2024,01-06-2024,up
375714,Ramadas Vasudev Kamath,0.03,506197,BLISSGVS,131.0,13740000000.0,104885496.18320613,Jun 2024,01-06-2024,up
376838,Nilesh Gandhi,1.48,531779,,24.2,131000000.0,5413223.140495868,Jun 2024,01-06-2024,up
377284,Chandra Shekhar Nopany  Trustee of Shekhar Family Trust,2.54,540648,PALASHSECU,149.0,1490000000.0,10000000.0,Jun 2024,01-06-2024,up
377421,Bhupinder Sekhri  Sons Huf,2.24,530475,,1698.0,29090000000.0,17131919.905771498,Jun 2024,01-06-2024,up
377804,Saraf Housing Development PvtLtd,9.78,507813,,138.0,697000000.0,5050724.637681159,Jun 2024,01-06-2024,up
378018,Time Securities Services Private Limited,18.6,532856,TIMETECHNO,399.0,90540000000.0,226917293.2330827,Jun 2024,01-06-2024,up
380494,Neha Abrol,4.05,540175,,13.6,595000000.0,43750000.0,Jun 2024,01-06-2024,up
381017,Dynamic Services  Security Limited,56.33,540730,,55.5,1210000000.0,21801801.8018018,Jun 2024,01-06-2024,up
385090,Madhusudan Bagla,15.89,514428,,390.0,2000000000.0,5128205.128205128,Jun 2024,01-06-2024,up
385157,JSW Cement Limited,66.17,532323,,52.5,15500000000.0,295238095.2380952,Jun 2024,01-06-2024,up
385273,Sathyanarayanan S,23.04,523116,,758.0,1360000000.0,1794195.2506596306,Jun 2024,01-06-2024,up
385531,Birla Group Holdings Private Limited,34.7,539883,PILANIINVS,5550.0,61450000000.0,11072072.072072072,Jun 2024,01-06-2024,up
388234,The President Of India Through Secretary Ministry ,54.27,540530,HUDCO,284.0,569240000000.0,2004366197.1830983,Jun 2024,01-06-2024,up
388535,Bhavesh Sheth,28.65,507910,FIBERWEB,51.1,1470000000.0,28767123.28767123,Jun 2024,01-06-2024,up
388750,Samina Asad Iraqi,6.52,542020,AKI,22.1,1900000000.0,85972850.67873302,Jun 2024,01-06-2024,up
391208,Rajhoo Ambalal Bbarot,12.45,532759,ATLANTAA,46.0,3750000000.0,81521739.13043478,Jun 2024,01-06-2024,up
391252,President Of India,49.4,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Jun 2024,01-06-2024,up
392943,Equilibrated Venture Cflow Private Limited,21.01,532900,PAISALO,62.7,56310000000.0,898086124.4019139,Jun 2024,01-06-2024,up
393019,Laxmikant Kabra Huf,10.24,540204,,58.6,729000000.0,12440273.037542662,Jun 2024,01-06-2024,up
393553,Sunita S Shah,3.66,538795,,241.0,1290000000.0,5352697.095435685,Jun 2024,01-06-2024,up
395015,Kotak Trustee Company Private Limited,0.01,500247,KOTAKBANK,1817.0,3614500000000.0,1989268024.21574,Jun 2024,01-06-2024,up
403034,Purnima Mehta,0.62,526423,KRITI,234.0,11600000000.0,49572649.572649576,Jun 2024,01-06-2024,up
404236,Shalini Jhanwar,4.26,531279,,92.8,1380000000.0,14870689.655172415,Jun 2024,01-06-2024,up
405375,Kudaravalli Rama Krishna,0.41,531719,BHAGCHEM,417.0,51900000000.0,124460431.65467626,Jun 2024,01-06-2024,up
405544,Shilpa Bagrodia,0.73,514470,,115.0,2270000000.0,19739130.43478261,Jun 2024,01-06-2024,up
407101,Narain Nanikram Hingorani,31.57,531119,,1341.0,4490000000.0,3348247.576435496,Jun 2024,01-06-2024,up
407875,Aanal Pravin Bhagwati,3.77,504646,,455.0,1310000000.0,2879120.87912088,Jun 2024,01-06-2024,up
408336,Mathura V Palaniswami,0.67,523323,,5675.0,62080000000.0,10939207.04845815,Jun 2024,01-06-2024,up
409007,Satynarayan Jagannath Kabra,12.1,531553,,18.8,138000000.0,7340425.531914894,Jun 2024,01-06-2024,up
410056,Anupama Kailash Katkar,17.97,539678,QUICKHEAL,615.0,33080000000.0,53788617.88617886,Jun 2024,01-06-2024,up
410314,Tarang Jain,39.75,541578,VARROC,570.0,87070000000.0,152754385.9649123,Jun 2024,01-06-2024,up
411526,Afcm Wind Farms Private Limited,0.15,521097,,229.0,1550000000.0,6768558.951965066,Jun 2024,01-06-2024,up
414529,Ardour Investment Holding Ltd,0.83,541450,ADANIGREEN,1901.0,3011090000000.0,1583950552.3408732,Jun 2024,01-06-2024,up
414797,Comfort Intech Limited,15.93,534691,,38.7,388000000.0,10025839.793281654,Jun 2024,01-06-2024,up
415345,Piyush Mutha,8.89,514302,,192.0,1130000000.0,5885416.666666667,Jun 2024,01-06-2024,up
416478,Adarsh Sudhakar Hegde,2.92,532749,ALLCARGO,71.4,70220000000.0,983473389.3557422,Jun 2024,01-06-2024,up
417404,I G E India Private Limited,50.02,509709,INTLCONV,83.7,5310000000.0,63440860.21505376,Jun 2024,01-06-2024,up
417476,Kannampadathil Abraham Joseph,21.55,543387,SJS,992.0,30770000000.0,31018145.16129032,Jun 2024,01-06-2024,up
417629,Gulab Chand Pukhraj Surana,10.93,513403,,5.39,54300000.0,10074211.502782932,Jun 2024,01-06-2024,up
417697,Noor Gupta,5.73,507872,,57.2,912000000.0,15944055.944055945,Jun 2024,01-06-2024,up
418621,Mahavir N Sundrawat,17.33,531221,,12.3,62400000.0,5073170.731707317,Jun 2024,01-06-2024,up
420836,Himanshu Jayantilal Shah,3.87,511551,MONARCH,829.0,28040000000.0,33823884.19782871,Jun 2024,01-06-2024,up
425379,Honeyvick Enterprises Pvt Ltd,55.36,513511,,208.0,3970000000.0,19086538.46153846,Jun 2024,01-06-2024,up
425479,Sukarma Finance Ltd,12.5,531626,,4.08,169000000.0,41421568.62745098,Jun 2024,01-06-2024,up
426756,Dinesh Harjivanbhai Patel,3.65,530477,,185.0,5800000000.0,31351351.35135135,Jun 2024,01-06-2024,up
428806,Lt1 Inc,3.78,543462,DEVIT,135.0,3040000000.0,22518518.51851852,Jun 2024,01-06-2024,up
429002,Sunita Jain,3.22,530025,,54.3,340000000.0,6261510.1289134445,Jun 2024,01-06-2024,up
430748,Indocrest Defence Solutions Pvt Ltd,68.43,505196,TIL,402.0,26850000000.0,66791044.7761194,Jun 2024,01-06-2024,up
436534,Krishnagopal Gupta And Sons,5.78,533212,,118.0,592000000.0,5016949.152542373,Jun 2024,01-06-2024,up
436742,Pankaj Jindal ,5.04,590018,HISARMETAL,187.0,1010000000.0,5401069.518716577,Jun 2024,01-06-2024,up
437686,Rupesh Dayashankar Madeka,10.0,543325,ROLEXRINGS,2406.0,65530000000.0,27236076.47547797,Jun 2024,01-06-2024,up
438392,Secure Investments Limited,22.1,524051,POLYPLEX,1352.0,42440000000.0,31390532.54437869,Jun 2024,01-06-2024,up
439046,Vir S Advani,1.07,500067,BLUESTARCO,1699.0,349360000000.0,205626839.31724545,Jun 2024,01-06-2024,up
