,Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date,Share_Change%,ch
343801,Ruchi Shahra,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-5.12820512820511,Down
343802,Ruchi Shahra,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
343803,Ruchi Shahra,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
343816,Ruchi Soya Industries Limited,13.31,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
343817,Ruchi Soya Industries Limited,13.31,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
343818,Ruchi Soya Industries Limited,13.26,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,-0.375657400450791,Down
343819,Ruchi Soya Industries Limited,13.26,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
343820,Ruchi Soya Industries Limited,13.26,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
363945,Santosh Shahra,3.51,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,1426.08695652174,UP
363946,Santosh Shahra,3.51,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
363947,Santosh Shahra,3.51,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
363948,Santosh Shahra,3.51,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
363949,Santosh Shahra,3.51,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
363950,Santosh Shahra,3.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-4.84330484330484,Down
363951,Santosh Shahra,3.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
363952,Santosh Shahra,3.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
363953,Santosh Shahra,3.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
363954,Santosh Shahra,3.2,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-4.19161676646706,Down
363955,Santosh Shahra,3.2,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
363956,Santosh Shahra,3.05,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-4.68750000000001,Down
367174,Sarthak Industries Limited,0.95,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
367175,Sarthak Industries Limited,0.95,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
367176,Sarthak Industries Limited,0.95,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
367177,Sarthak Industries Limited,0.95,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
367178,Sarthak Industries Limited,0.95,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
367179,Sarthak Industries Limited,0.91,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-4.21052631578946,Down
367180,Sarthak Industries Limited,0.91,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
367181,Sarthak Industries Limited,0.91,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
367182,Sarthak Industries Limited,0.91,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
367183,Sarthak Industries Limited,0.87,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-4.3956043956044,Down
367184,Sarthak Industries Limited,0.87,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
367185,Sarthak Industries Limited,0.83,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-4.59770114942529,Down
367312,Sarvesh D Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
367313,Sarvesh D Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,,EQUAL
367314,Sarvesh D Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,,EQUAL
367315,Sarvesh D Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,,EQUAL
367316,Sarvesh D Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,,EQUAL
367317,Sarvesh D Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,,EQUAL
367318,Sarvesh D Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,,EQUAL
367319,Sarvesh D Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,,EQUAL
367320,Sarvesh D Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,,EQUAL
367321,Sarvesh D Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,,EQUAL
367322,Sarvesh D Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,,EQUAL
367323,Sarvesh D Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,,EQUAL
370866,Savitri Devi Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
370867,Savitri Devi Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,,EQUAL
370868,Savitri Devi Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,,EQUAL
370869,Savitri Devi Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,,EQUAL
370870,Savitri Devi Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,,EQUAL
370871,Savitri Devi Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,,EQUAL
370872,Savitri Devi Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,,EQUAL
370873,Savitri Devi Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,,EQUAL
370874,Savitri Devi Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,,EQUAL
370875,Savitri Devi Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,,EQUAL
370876,Savitri Devi Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,,EQUAL
370877,Savitri Devi Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,,EQUAL
374461,Shahra Brothers Private Limited,0.72,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
374462,Shahra Brothers Private Limited,0.72,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
374463,Shahra Brothers Private Limited,0.72,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
374464,Shahra Brothers Private Limited,0.72,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
374465,Shahra Brothers Private Limited,0.72,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
374466,Shahra Brothers Private Limited,0.68,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-5.55555555555555,Down
374467,Shahra Brothers Private Limited,0.68,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
374468,Shahra Brothers Private Limited,0.68,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
374469,Shahra Brothers Private Limited,0.68,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
374470,Shahra Brothers Private Limited,0.65,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-4.41176470588236,Down
374471,Shahra Brothers Private Limited,0.65,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
374472,Shahra Brothers Private Limited,0.62,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-4.61538461538462,Down
404162,Soyumm Marketing Private Limited,3.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
404163,Soyumm Marketing Private Limited,3.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
404164,Soyumm Marketing Private Limited,3.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
404165,Soyumm Marketing Private Limited,3.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
404166,Soyumm Marketing Private Limited,3.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
404167,Soyumm Marketing Private Limited,3.41,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-4.74860335195531,Down
404168,Soyumm Marketing Private Limited,3.41,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
404169,Soyumm Marketing Private Limited,3.41,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
404170,Soyumm Marketing Private Limited,3.41,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
404171,Soyumm Marketing Private Limited,3.27,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-4.10557184750734,Down
404172,Soyumm Marketing Private Limited,3.27,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
404173,Soyumm Marketing Private Limited,3.12,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-4.58715596330275,Down
415729,Sunaina Shahra,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
415730,Sunaina Shahra,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
415731,Sunaina Shahra,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
415732,Sunaina Shahra,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
415733,Sunaina Shahra,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
415734,Sunaina Shahra,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-5.12820512820511,Down
415735,Sunaina Shahra,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
415736,Sunaina Shahra,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
415737,Sunaina Shahra,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
415738,Sunaina Shahra,1.07,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-3.60360360360361,Down
415739,Sunaina Shahra,1.07,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
415740,Sunaina Shahra,1.02,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-4.67289719626168,Down
421921,Suresh Chandra Shahra HUF,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
421922,Suresh Chandra Shahra HUF,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
421923,Suresh Chandra Shahra HUF,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
421924,Suresh Chandra Shahra HUF,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
421925,Suresh Chandra Shahra HUF,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
421926,Suresh Chandra Shahra HUF,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-3.44827586206895,Down
421927,Suresh Chandra Shahra HUF,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
421928,Suresh Chandra Shahra HUF,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
421929,Suresh Chandra Shahra HUF,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
421930,Suresh Chandra Shahra HUF,0.53,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-5.35714285714286,Down
421931,Suresh Chandra Shahra HUF,0.53,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
421932,Suresh Chandra Shahra HUF,0.51,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-3.77358490566038,Down
425917,Suyash Shahra Trustee of Shashwat Trust,8.77,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,,EQUAL
425918,Suyash Shahra Trustee of Shashwat Trust,8.77,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
425919,Suyash Shahra Trustee of Shashwat Trust,8.77,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
425920,Suyash Shahra Trustee of Shashwat Trust,8.77,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
425921,Suyash Shahra Trustee of Shashwat Trust,8.35,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-4.78905359179019,Down
425922,Suyash Shahra Trustee of Shashwat Trust,8.35,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
425923,Suyash Shahra Trustee of Shashwat Trust,8.35,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
425924,Suyash Shahra Trustee of Shashwat Trust,8.35,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
425925,Suyash Shahra Trustee of Shashwat Trust,8.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-4.19161676646707,Down
425926,Suyash Shahra Trustee of Shashwat Trust,8.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
425927,Suyash Shahra Trustee of Shashwat Trust,7.63,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-4.625,Down
443945,Umesh Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
443946,Umesh Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,,EQUAL
443947,Umesh Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,,EQUAL
443948,Umesh Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,,EQUAL
443949,Umesh Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,,EQUAL
443950,Umesh Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,,EQUAL
443951,Umesh Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,,EQUAL
443952,Umesh Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,,EQUAL
443953,Umesh Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,,EQUAL
443954,Umesh Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,,EQUAL
443955,Umesh Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,,EQUAL
443956,Umesh Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,,EQUAL
443959,Umesh Shahra Trustee Of Shashwat Trust,8.77,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
447179,Usha Shahra,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,222.222222222222,UP
447180,Usha Shahra,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
447181,Usha Shahra,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
447182,Usha Shahra,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
447183,Usha Shahra,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
447184,Usha Shahra,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-3.44827586206895,Down
447185,Usha Shahra,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
447186,Usha Shahra,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
447187,Usha Shahra,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
447188,Usha Shahra,0.53,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-5.35714285714286,Down
447189,Usha Shahra,0.53,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
447190,Usha Shahra,0.51,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-3.77358490566038,Down
464936,Viksit Engineering Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
464937,Viksit Engineering Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,,EQUAL
464938,Viksit Engineering Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,,EQUAL
464939,Viksit Engineering Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,,EQUAL
464940,Viksit Engineering Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,,EQUAL
464941,Viksit Engineering Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,,EQUAL
464942,Viksit Engineering Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,,EQUAL
464943,Viksit Engineering Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,,EQUAL
464944,Viksit Engineering Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,,EQUAL
464945,Viksit Engineering Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,,EQUAL
464946,Viksit Engineering Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,,EQUAL
464947,Viksit Engineering Limited,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,,EQUAL
471144,Vishesh Shahra,2.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,2240.0,UP
471145,Vishesh Shahra,2.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
471146,Vishesh Shahra,2.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
471147,Vishesh Shahra,2.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
471148,Vishesh Shahra,2.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
471149,Vishesh Shahra,2.23,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-4.7008547008547,Down
471150,Vishesh Shahra,2.23,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
471151,Vishesh Shahra,2.23,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
471152,Vishesh Shahra,2.23,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
471153,Vishesh Shahra,2.13,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-4.48430493273543,Down
471154,Vishesh Shahra,2.13,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
471155,Vishesh Shahra,2.03,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-4.69483568075118,Down
