,Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date,Share_Change%,ch
67789,Bhavna Goel,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
67790,Bhavna Goel,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-5.12820512820511,Down
67791,Bhavna Goel,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
67792,Bhavna Goel,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
67793,Bhavna Goel,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
67794,Bhavna Goel,1.07,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-3.60360360360361,Down
67795,Bhavna Goel,1.07,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
67796,Bhavna Goel,1.02,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-4.67289719626168,Down
103886,Dinesh Khandelwal Trustee of Disha Foundation,1.71,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
103887,Dinesh Khandelwal Trustee of Disha Foundation,1.71,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
103888,Dinesh Khandelwal Trustee of Disha Foundation,1.71,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
103889,Dinesh Khandelwal Trustee of Disha Foundation,1.71,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
103890,Dinesh Khandelwal Trustee of Disha Foundation,1.71,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
103891,Dinesh Khandelwal Trustee of Disha Foundation,1.63,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-4.67836257309942,Down
103892,Dinesh Khandelwal Trustee of Disha Foundation,1.63,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
103893,Dinesh Khandelwal Trustee of Disha Foundation,1.63,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
103894,Dinesh Khandelwal Trustee of Disha Foundation,1.63,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
103895,Dinesh Khandelwal Trustee of Disha Foundation,1.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-4.29447852760735,Down
103896,Dinesh Khandelwal Trustee of Disha Foundation,1.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
103897,Dinesh Khandelwal Trustee of Disha Foundation,1.49,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-4.48717948717949,Down
170850,Kailash Chandra Shahra HUF,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
170851,Kailash Chandra Shahra HUF,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,,EQUAL
170852,Kailash Chandra Shahra HUF,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,,EQUAL
170853,Kailash Chandra Shahra HUF,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,,EQUAL
170854,Kailash Chandra Shahra HUF,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,,EQUAL
170855,Kailash Chandra Shahra HUF,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,,EQUAL
170856,Kailash Chandra Shahra HUF,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,,EQUAL
170857,Kailash Chandra Shahra HUF,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,,EQUAL
170858,Kailash Chandra Shahra HUF,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,,EQUAL
170859,Kailash Chandra Shahra HUF,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,,EQUAL
170860,Kailash Chandra Shahra HUF,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,,EQUAL
170861,Kailash Chandra Shahra HUF,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,,EQUAL
210411,Maha Kosh Papers Private Limited,2.92,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
210412,Maha Kosh Papers Private Limited,2.92,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
210413,Maha Kosh Papers Private Limited,2.92,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
210414,Maha Kosh Papers Private Limited,2.92,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
210415,Maha Kosh Papers Private Limited,2.92,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
210416,Maha Kosh Papers Private Limited,2.78,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-4.79452054794521,Down
210417,Maha Kosh Papers Private Limited,2.78,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
210418,Maha Kosh Papers Private Limited,2.78,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
210419,Maha Kosh Papers Private Limited,2.78,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
210420,Maha Kosh Papers Private Limited,2.67,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-3.9568345323741,Down
210421,Maha Kosh Papers Private Limited,2.67,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
210422,Maha Kosh Papers Private Limited,2.54,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-4.8689138576779,Down
210702,Mahakosh Holdings Private Limited,7.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
210703,Mahakosh Holdings Private Limited,7.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
210704,Mahakosh Holdings Private Limited,7.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
210705,Mahakosh Holdings Private Limited,7.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
210706,Mahakosh Holdings Private Limited,7.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
210707,Mahakosh Holdings Private Limited,6.99,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-4.76839237057221,Down
210708,Mahakosh Holdings Private Limited,6.99,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
210709,Mahakosh Holdings Private Limited,6.99,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
210710,Mahakosh Holdings Private Limited,6.99,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
210711,Mahakosh Holdings Private Limited,6.7,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-4.14878397711016,Down
210712,Mahakosh Holdings Private Limited,6.7,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
210713,Mahakosh Holdings Private Limited,6.38,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-4.77611940298508,Down
218257,Manish Shahra,2.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,-5.64516129032259,Down
218258,Manish Shahra,2.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
218259,Manish Shahra,2.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
218260,Manish Shahra,2.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
218261,Manish Shahra,2.34,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
218262,Manish Shahra,2.23,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-4.7008547008547,Down
218263,Manish Shahra,2.23,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
218264,Manish Shahra,2.23,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
218265,Manish Shahra,2.23,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
218266,Manish Shahra,2.14,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-4.03587443946187,Down
218267,Manish Shahra,2.14,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
218268,Manish Shahra,2.03,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-5.14018691588787,Down
237752,Mrudula Shahra,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
237753,Mrudula Shahra,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
237754,Mrudula Shahra,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
237755,Mrudula Shahra,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
237756,Mrudula Shahra,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
237757,Mrudula Shahra,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-3.44827586206895,Down
237758,Mrudula Shahra,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
237759,Mrudula Shahra,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
237760,Mrudula Shahra,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
237761,Mrudula Shahra,0.53,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-5.35714285714286,Down
237762,Mrudula Shahra,0.53,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
237763,Mrudula Shahra,0.51,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-3.77358490566038,Down
254905,Neeta Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
