Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date
Ebrahim Y Rangoonwala,0.95,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2022,01-09-2022
Krishnan M,0.42,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2022,01-09-2022
Shridhar P Iyer,0.21,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2022,01-09-2022
Siddharth Iyer,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2022,01-09-2022
FIIs,1.73,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2022,01-09-2022
Image Securities Limited,1.38,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2022,01-09-2022
DIIs,0.15,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2022,01-09-2022
Public,36.83,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2022,01-09-2022
Promoters,61.29,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2022,01-12-2022
Sundar Iyer,43.39,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2022,01-12-2022
Karthik Sundar,8.51,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2022,01-12-2022
Vanaja Sundar Iyer,7.81,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2022,01-12-2022
Ebrahim Y Rangoonwala,0.95,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2022,01-12-2022
Krishnan M,0.42,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2022,01-12-2022
Shridhar P Iyer,0.21,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2022,01-12-2022
Siddharth Iyer,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2022,01-12-2022
FIIs,0.35,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2022,01-12-2022
DIIs,0.15,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2022,01-12-2022
Public,38.21,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2022,01-12-2022
Promoters,61.69,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2023,01-03-2023
Sundar Iyer,43.39,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2023,01-03-2023
Karthik Sundar,8.9,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2023,01-03-2023
Vanaja Sundar Iyer,7.81,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2023,01-03-2023
Ebrahim Y Rangoonwala,0.95,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2023,01-03-2023
Krishnan M,0.42,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2023,01-03-2023
Shridhar P Iyer,0.21,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2023,01-03-2023
